GSE76381.sample.donor.sex	female
GSE76381.sample.donor.age_unit	week
GSE76381.sample.body_part.organ	brain
GSE76381.sample.donor.species	Mus musculus
GSE76381.assay.single_cell.method	Fluidigm C1
GSE76381.sample.donor.species	Homo sapiens
GSE76381.sample.body_part.name	ventral midbrain
GSE76381.sample.body_part.name	embryonic stem cell
GSE76381.sample.body_part.name	hES DA commercial
GSE76381.sample.donor.sex	male
GSE76381.sample.donor.sex	mixed
GSE76381.sample.body_part.name	substantia nigra-ventral tegmental area
GSE76381.sample.body_part.organ	embryo
GSE76381.sample.donor.life_stage	cell line
GSE76381.sample.donor.life_stage	postpartum
GSE76381.sample.donor.age_unit	day
GSE76381.sample.donor.life_stage	embryo
GSE76381.sample.donor.sex	unknown
