Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[sample description]	Characteristics[sex]	Characteristics[organism part]	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[individual]
ERS639336	House mouse	NCBI Taxonomy	10090	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_1-sc-2208273	ERS639336	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748968_ERX945814	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945814	sequencing assay	ERX945814	ERR866186_1	SC	ERR866186	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866186/ERR866186_1.fastq.gz	POMC_GFP_I_1
ERS639336	House mouse	NCBI Taxonomy	10090	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_1-sc-2208273	ERS639336	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748968_ERX945814	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945814	sequencing assay	ERX945814	ERR866186_2	SC	ERR866186	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866186/ERR866186_2.fastq.gz	POMC_GFP_I_1
ERS639336	House mouse	NCBI Taxonomy	10090	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_1-sc-2208273	ERS639336	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748968_ERX945910	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945910	sequencing assay	ERX945910	ERR866282_1	SC	ERR866282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866282/ERR866282_1.fastq.gz	POMC_GFP_I_1
ERS639336	House mouse	NCBI Taxonomy	10090	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_1-sc-2208273	ERS639336	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748968_ERX945910	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945910	sequencing assay	ERX945910	ERR866282_2	SC	ERR866282	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866282/ERR866282_2.fastq.gz	POMC_GFP_I_1
ERS639337	House mouse	NCBI Taxonomy	10091	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_2-sc-2208274	ERS639337	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748969_ERX945815	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945815	sequencing assay	ERX945815	ERR866187_1	SC	ERR866187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866187/ERR866187_1.fastq.gz	POMC_GFP_I_2
ERS639337	House mouse	NCBI Taxonomy	10091	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_2-sc-2208274	ERS639337	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748969_ERX945815	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945815	sequencing assay	ERX945815	ERR866187_2	SC	ERR866187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866187/ERR866187_2.fastq.gz	POMC_GFP_I_2
ERS639337	House mouse	NCBI Taxonomy	10091	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_2-sc-2208274	ERS639337	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748969_ERX945911	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945911	sequencing assay	ERX945911	ERR866283_1	SC	ERR866283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866283/ERR866283_1.fastq.gz	POMC_GFP_I_2
ERS639337	House mouse	NCBI Taxonomy	10091	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_2-sc-2208274	ERS639337	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748969_ERX945911	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945911	sequencing assay	ERX945911	ERR866283_2	SC	ERR866283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866283/ERR866283_2.fastq.gz	POMC_GFP_I_2
ERS639338	House mouse	NCBI Taxonomy	10092	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_3-sc-2208275	ERS639338	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748970_ERX945816	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945816	sequencing assay	ERX945816	ERR866188_1	SC	ERR866188	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866188/ERR866188_1.fastq.gz	POMC_GFP_I_3
ERS639338	House mouse	NCBI Taxonomy	10092	  	library from single neurons	male	hypothalamic neurons	  	POMC_GFP_I_3-sc-2208275	ERS639338	LIBRARY_CONSTRUCTION_PROTOCOL_1	12748970_ERX945816	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	550	0	SEQUENCING_PROTOCOL_1	SC	ERX945816	sequencing assay	ERX945816	ERR866188_2	SC	ERR866188	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/ERR866188/ERR866188_2.fastq.gz	POMC_GFP_I_3
