Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Characteristics[cell line]	Characteristics[strain]	Characteristics[specimen with known storage state]	Characteristics[cell cycle stage]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Comment[spike sequence file]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[cell cycle stage]
G1_cell1	ERS527385	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell1	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell1	sequencing assay	ERX538284	G1_Cell1_1.fastq.gz	G1_Cell1_1.fastq.gz	ERR580157	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580157/ERR580157_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell1	ERS527385	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell1	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell1	sequencing assay	ERX538284	G1_Cell1_2.fastq.gz	G1_Cell1_2.fastq.gz	ERR580157	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580157/ERR580157_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell2	ERS527282	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell2	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell2	sequencing assay	ERX538181	G1_Cell2_1.fastq.gz	G1_Cell2_1.fastq.gz	ERR580026	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580026/ERR580026_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell2	ERS527282	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell2	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell2	sequencing assay	ERX538181	G1_Cell2_2.fastq.gz	G1_Cell2_2.fastq.gz	ERR580026	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580026/ERR580026_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell3	ERS527523	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell3	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell3	sequencing assay	ERX538422	G1_Cell3_1.fastq.gz	G1_Cell3_1.fastq.gz	ERR580203	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580203/ERR580203_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell3	ERS527523	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell3	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell3	sequencing assay	ERX538422	G1_Cell3_2.fastq.gz	G1_Cell3_2.fastq.gz	ERR580203	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580203/ERR580203_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell4	ERS527440	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell4	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell4	sequencing assay	ERX538339	G1_Cell4_1.fastq.gz	G1_Cell4_1.fastq.gz	ERR580180	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580180/ERR580180_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell4	ERS527440	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell4	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell4	sequencing assay	ERX538339	G1_Cell4_2.fastq.gz	G1_Cell4_2.fastq.gz	ERR580180	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580180/ERR580180_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell5	ERS527432	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell5	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell5	sequencing assay	ERX538331	G1_Cell5_1.fastq.gz	G1_Cell5_1.fastq.gz	ERR580113	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580113/ERR580113_1.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
G1_cell5	ERS527432	cell	Mus musculus	AB2.2	mESC	fresh specimen	G1	P-MTAB-40666	P-MTAB-42731	P-MTAB-40667	P-MTAB-40668	P-MTAB-40669	G1_cell5	PoyA-RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	5'-3'-3'-5'	200	ERCC_Sequences.txt	P-MTAB-40670	SANGER	G1_cell5	sequencing assay	ERX538331	G1_Cell5_2.fastq.gz	G1_Cell5_2.fastq.gz	ERR580113	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR580/ERR580113/ERR580113_2.fastq.gz	100	101	P-MTAB-40671	P-MTAB-40672	G1_singlecells_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2805/E-MTAB-2805.processed.1.zip	G1
