BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	development_stage_s	source_name_s	tissue_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN00828830	SRX129997	GSM896803: Oocyte #1-C1	2012-08-11	3141	2127	SRR445718	SRS300731	GSM896803	human preimplantation blastomere (Oocyte)		cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828831	SRX129998	GSM896804: Oocyte #1-C2	2012-08-11	2926	1977	SRR445719	SRS300732	GSM896804	human preimplantation blastomere (Oocyte)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828832	SRX129999	GSM896805: Oocyte #1-C3	2012-08-11	2436	1650	SRR445720	SRS300733	GSM896805	human preimplantation blastomere (Oocyte)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828833	SRX130000	GSM896806: Zygote #1-C1	2012-08-11	3483	2160	SRR445721	SRS300734	GSM896806	human preimplantation blastomere (zygote)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828834	SRX130001	GSM896807: Zygote #1-C2	2012-08-11	3134	1947	SRR445722	SRS300735	GSM896807	human preimplantation blastomere (zygote)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828835	SRX130002	GSM896808: Zygote #1-C3	2012-08-11	3915	2528	SRR445723	SRS300736	GSM896808	human preimplantation blastomere (zygote)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828836	SRX130003	GSM896809: 2-cell #1-C1	2012-08-11	4853	3227	SRR445724	SRS300737	GSM896809	human preimplantation blastomere (2-cell)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828837	SRX130004	GSM896810: 2-cell #1-C2	2012-08-11	4954	3292	SRR445725	SRS300738	GSM896810	human preimplantation blastomere (2-cell)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828838	SRX130005	GSM896811: 2-cell #2-C1	2012-08-11	4690	3108	SRR445726	SRS300739	GSM896811	human preimplantation blastomere (2-cell)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
SAMN00828839	SRX130006	GSM896812: 2-cell #2-C2	2012-08-11	5008	3335	SRR445727	SRS300740	GSM896812	human preimplantation blastomere (2-cell)	early blastomere	cDNAs of individual cells of preimplantation embryos	human preimplantation embryos	RNA-Seq	100	PRJNA153427	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2013-08-12	SRP011546
