AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	age_s	c1_chip_id_s	cell_type_s	experiment_sample_name_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
150	SAMN03485904	SRX996325	NextSeq 500	2015-04-22	314	145	SRR1975007	SRS910176	GSM1658365	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485905	SRX996326	NextSeq 500	2015-04-23	237	110	SRR1975008	SRS910177	GSM1658366	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485903	SRX996324	NextSeq 500	2015-04-23	238	110	SRR1975006	SRS910178	GSM1658364	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485902	SRX996323	NextSeq 500	2015-04-23	253	119	SRR1975005	SRS910179	GSM1658363	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485901	SRX996322	NextSeq 500	2015-04-23	192	89	SRR1975004	SRS910180	GSM1658362	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485900	SRX996321	NextSeq 500	2015-04-23	191	90	SRR1975003	SRS910181	GSM1658361	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485898	SRX996319	NextSeq 500	2015-04-15	187	91	SRR1975001	SRS910182	GSM1658359	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485899	SRX996320	NextSeq 500	2015-04-23	252	117	SRR1975002	SRS910183	GSM1658360	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485896	SRX996317	NextSeq 500	2015-04-23	293	136	SRR1974999	SRS910184	GSM1658357	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485897	SRX996318	NextSeq 500	2015-04-23	246	115	SRR1975000	SRS910185	GSM1658358	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485895	SRX996316	NextSeq 500	2015-04-23	269	126	SRR1974998	SRS910186	GSM1658356	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485894	SRX996315	NextSeq 500	2015-04-23	224	104	SRR1974997	SRS910187	GSM1658355	prenatal 16-18 W	nochipID4	fetal_replicating	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485936	SRX996255	Illumina MiSeq	2015-04-15	454	317	SRR1974937	SRS910247	GSM1658284	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485937	SRX996256	Illumina MiSeq	2015-04-15	349	243	SRR1974938	SRS910246	GSM1658286	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485938	SRX996257	Illumina MiSeq	2015-04-15	335	235	SRR1974939	SRS910245	GSM1658288	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485939	SRX996258	Illumina MiSeq	2015-04-15	390	272	SRR1974940	SRS910244	GSM1658290	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485940	SRX996259	Illumina MiSeq	2015-04-15	411	285	SRR1974941	SRS910243	GSM1658292	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485941	SRX996260	Illumina MiSeq	2015-04-15	492	344	SRR1974942	SRS910241	GSM1658294	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485942	SRX996261	Illumina MiSeq	2015-04-15	267	187	SRR1974943	SRS910242	GSM1658297	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485943	SRX996262	Illumina MiSeq	2015-04-15	434	302	SRR1974944	SRS910240	GSM1658299	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485944	SRX996263	Illumina MiSeq	2015-04-15	498	348	SRR1974945	SRS910239	GSM1658301	prenatal 16-18 W	nochipID11	fetal_quiescent	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485945	SRX996264	Illumina MiSeq	2015-04-15	240	168	SRR1974946	SRS910238	GSM1658304	prenatal 16-18 W	nochipID11	fetal_replicating	FB_S2	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485946	SRX996265	Illumina MiSeq	2015-04-15	389	272	SRR1974947	SRS910236	GSM1658305	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
202	SAMN03485947	SRX996266	Illumina MiSeq	2015-04-15	457	318	SRR1974948	SRS910237	GSM1658306	prenatal 16-18 W	nochipID13	fetal_quiescent	FB_S3	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
150	SAMN03485923	SRX996302	NextSeq 500	2015-04-15	245	119	SRR1974984	SRS910199	GSM1658342	prenatal 16-18 W	nochipID4	fetal_quiescent	FB_S6	cortex	RNA-Seq	PRJNA281204	GEO	public	0	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2015-05-20	SRP057196	Brain
