BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	assigned_cell_type_s	cell_count_s	qc_pass_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	ercc_dilution_s	ercc_mix_s	source_name_s
SAMN04145828	SRX1304143	486	267	SRR2558111	SRS1098849	GSM1901455	undefined	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145829	SRX1304144	340	209	SRR2558112	SRS1098920	GSM1901456	alpha	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145830	SRX1304145	655	329	SRR2558113	SRS1098919	GSM1901457	delta	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145831	SRX1304146	395	244	SRR2558114	SRS1098918	GSM1901458	pp	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145832	SRX1304147	507	258	SRR2558115	SRS1098916	GSM1901459	duct	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145833	SRX1304148	394	244	SRR2558116	SRS1098917	GSM1901460	pp	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145834	SRX1304149	380	224	SRR2558117	SRS1098914	GSM1901461	acinar	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145835	SRX1304150	694	349	SRR2558118	SRS1098915	GSM1901462	delta	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145836	SRX1304151	603	308	SRR2558119	SRS1098913	GSM1901463	undefined	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
SAMN04145837	SRX1304152	389	220	SRR2558120	SRS1098912	GSM1901464	duct	1	TRUE	RNA-Seq	50	PRJNA297774	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2015-10-05	Homo sapiens	ILLUMINA	2016-01-05	SRP064464	1000000	mix2	pancreatic islet
