AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Stage_s	source_name_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
192	SAMN04304018	SRX1456578	370	280	SRR2967132	SRS1184110	GSM1957080	33 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304111	SRX1456626	610	456	SRR2967180	SRS1184111	GSM1957128	35 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
192	SAMN04304043	SRX1456603	626	468	SRR2967157	SRS1184112	GSM1957105	35 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
250	SAMN04303967	SRX1456767	664	528	SRR2967321	SRS1184113	GSM1957269	41 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
250	SAMN04304243	SRX1456785	745	591	SRR2967339	SRS1184114	GSM1957287	41 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304257	SRX1456803	283	221	SRR2967357	SRS1184115	GSM1957305	65 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304129	SRX1456824	268	209	SRR2967378	SRS1184116	GSM1957326	65 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304048	SRX1456848	373	290	SRR2967402	SRS1184117	GSM1957350	65 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304065	SRX1456865	316	248	SRR2967419	SRS1184118	GSM1957367	65 days	iPSC 409B2	Dissociated whole cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
200	SAMN04304187	SRX1456883	314	240	SRR2967437	SRS1184119	GSM1957385	53 days	ESC H9	Microdissected cortical-like ventricle from cerebral organoid	RNA-Seq	PRJNA304502	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-01	Homo sapiens	ILLUMINA	2015-12-07	SRP066834
