#Experiment_s	Run_s
SRX1456578	SRR2967132
SRX1456626	SRR2967180
SRX1456603	SRR2967157
SRX1456767	SRR2967321
SRX1456785	SRR2967339
SRX1456803	SRR2967357
SRX1456824	SRR2967378
SRX1456848	SRR2967402
SRX1456865	SRR2967419
SRX1456883	SRR2967437
SRX1456911	SRR2967465
SRX1456921	SRR2967475
SRX1456941	SRR2967495
SRX1456973	SRR2967527
SRX1456984	SRR2967538
SRX1456995	SRR2967549
SRX1457031	SRR2967585
SRX1457059	SRR2967613
SRX1457060	SRR2967614
SRX1457101	SRR2967655
SRX1457120	SRR2967674
SRX1457127	SRR2967681
SRX1457128	SRR2967682
SRX1457131	SRR2967685
SRX1457157	SRR2967711
SRX1457172	SRR2967726
SRX1457188	SRR2967742
SRX1457207	SRR2967761
SRX1457224	SRR2967778
SRX1457244	SRR2967798
SRX1457250	SRR2967804
SRX1457251	SRR2967805
SRX1457252	SRR2967806
SRX1457253	SRR2967807
SRX1457254	SRR2967808
SRX1457255	SRR2967809
SRX1457256	SRR2967810
SRX1457257	SRR2967811
SRX1457258	SRR2967812
SRX1457259	SRR2967813
SRX1457260	SRR2967814
SRX1457261	SRR2967815
SRX1457262	SRR2967816
SRX1457263	SRR2967817
SRX1457264	SRR2967818
SRX1457265	SRR2967819
SRX1457266	SRR2967820
SRX1457267	SRR2967821
SRX1457268	SRR2967822
SRX1457269	SRR2967823
SRX1457270	SRR2967824
SRX1457271	SRR2967825
SRX1457272	SRR2967826
SRX1457273	SRR2967827
SRX1457274	SRR2967828
SRX1457275	SRR2967829
SRX1457276	SRR2967830
SRX1457277	SRR2967831
SRX1457278	SRR2967832
SRX1457279	SRR2967833
SRX1457129	SRR2967683
SRX1457130	SRR2967684
SRX1457132	SRR2967686
SRX1457133	SRR2967687
SRX1457134	SRR2967688
SRX1457135	SRR2967689
SRX1457136	SRR2967690
SRX1457137	SRR2967691
SRX1457138	SRR2967692
SRX1457139	SRR2967693
