AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	cd10_s	cd135_s	cd34_s	cd38_s	cd45ra_s	cd49f_s	cd7_s	cd90_s	facs_time_s	fsc_a_s	fsc_h_s	fsc_w_s	lin_s	source_name_s	ssc_a_s	ssc_h_s	ssc_w_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
200	SAMN04301021	SRX1454140	2015-11-30	7	4	2017-01-19	SRR2963593	SRS1181507	GSM1955932	388	2358	5864	161	272	233	279	925	11199	94492	92827	66712	-364	Lin-CD34+CD38- bone marrow	58731	58063	66290	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301021	SRX1454140	2015-11-30	11	7	2017-01-19	SRR2963594	SRS1181507	GSM1955932	388	2358	5864	161	272	233	279	925	11199	94492	92827	66712	-364	Lin-CD34+CD38- bone marrow	58731	58063	66290	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04301021	SRX1454140	2015-11-30	11	7	2017-01-19	SRR2963595	SRS1181507	GSM1955932	388	2358	5864	161	272	233	279	925	11199	94492	92827	66712	-364	Lin-CD34+CD38- bone marrow	58731	58063	66290	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300447	SRX1454307	2015-11-30	20	14	2017-01-19	SRR2963984	SRS1181508	GSM1956099	598	2442	6621	1118	158	393	-26	2553	6411	101731	94233	70750	213	Lin-CD34+CD38- bone marrow	66695	65081	67161	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300447	SRX1454307	2015-11-30	26	18	2017-01-19	SRR2963985	SRS1181508	GSM1956099	598	2442	6621	1118	158	393	-26	2553	6411	101731	94233	70750	213	Lin-CD34+CD38- bone marrow	66695	65081	67161	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300961	SRX1454380	2015-11-30	0	0	2017-01-19	SRR2964130	SRS1181509	GSM1956172	626	3025	7426	203	38	278	495	1565	21644	112009	119103	61633	-571	Lin-CD34+CD38- bone marrow	57901	54495	69632	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300961	SRX1454380	2015-11-30	0	0	2017-01-19	SRR2964131	SRS1181509	GSM1956172	626	3025	7426	203	38	278	495	1565	21644	112009	119103	61633	-571	Lin-CD34+CD38- bone marrow	57901	54495	69632	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300164	SRX1454439	2015-11-30	14	9	2017-01-19	SRR2964298	SRS1181510	GSM1956231	739	2762	3146	2640	96	452	43	1822	12984	108383	112053	63390	285	Lin-CD34+CD38+ bone marrow	57633	56021	67422	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300164	SRX1454439	2015-11-30	31	21	2017-01-19	SRR2964299	SRS1181510	GSM1956231	739	2762	3146	2640	96	452	43	1822	12984	108383	112053	63390	285	Lin-CD34+CD38+ bone marrow	57633	56021	67422	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04300164	SRX1454439	2015-11-30	30	20	2017-01-19	SRR2964300	SRS1181510	GSM1956231	739	2762	3146	2640	96	452	43	1822	12984	108383	112053	63390	285	Lin-CD34+CD38+ bone marrow	57633	56021	67422	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
200	SAMN04299971	SRX1454552	2015-11-30	163	117	2017-01-19	SRR2964570	SRS1181511	GSM1956344	559	4384	4248	1551	184	145	-24	52	19553	80866	80493	65840	-73	Lin-CD34+CD38+ bone marrow	46518	47833	63735	RNA-Seq	PRJNA304408	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP066781
