Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	age_s	cell_type_s	source_name_s	strain_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	Platform_s	ReleaseDate_s	SRA_Study_s
RNA-Seq	202	SAMN04312689	SRX1461406	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	522	212	Homo sapiens	SRR2972035	SRS1188264	GSM1962300	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	202	SAMN04312856	SRX1461547	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	98	40	Homo sapiens	SRR2972177	SRS1188265	GSM1962441	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	202	SAMN04312625	SRX1461342	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	384	157	Homo sapiens	SRR2971971	SRS1188263	GSM1962236	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	202	SAMN04312595	SRX1461276	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	793	338	Homo sapiens	SRR2971904	SRS1188262	GSM1962170	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	43	SAMN04312587	SRX1461095	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-03	1796	1793	Mus musculus	SRR2971722	SRS1188261	GSM1961989	female	adult	single fibroblast	single.fibroblast	CAST/EiJ (mother) x C57BL/6J (father)	PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	202	SAMN04313032	SRX1461614	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	435	184	Homo sapiens	SRR2972244	SRS1188266	GSM1962508	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	202	SAMN04313063	SRX1461677	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	351	154	Homo sapiens	SRR2972307	SRS1188267	GSM1962571	male	adult	in vivo single Tcell	in.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313159	SRX1461870	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	479	156	Homo sapiens	SRR2972501	SRS1188270	GSM1962764	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313194	SRX1461999	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	304	96	Homo sapiens	SRR2972631	SRS1188272	GSM1962893	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
RNA-Seq	252	SAMN04313264	SRX1462056	PAIRED	cDNA	TRANSCRIPTOMIC	2015-12-03	516	170	Homo sapiens	SRR2972689	SRS1188273	GSM1962950	male	adult	ex vivo single Tcell	ex.vivo.single.Tcell		PRJNA304993	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	2016-09-26	SRP066963
