AvgSpotLen_l	BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Sex_s	age_s	inferred_cell_type_s	source_name_s	strain_s	tissue_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s
86	SAMN05561304	SRX2044589	2016-08-24	68	63	Homo sapiens	SRR4055063	SRS1637087	GSM2268339	pooled male and female	7w	hMgl	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561303	SRX2044590	2016-08-24	110	101	Homo sapiens	SRR4055064	SRS1637088	GSM2268340	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561302	SRX2044591	2016-08-24	123	111	Homo sapiens	SRR4055065	SRS1637089	GSM2268341	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561301	SRX2044592	2016-08-24	104	95	Homo sapiens	SRR4055066	SRS1637091	GSM2268342	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561300	SRX2044593	2016-08-24	84	77	Homo sapiens	SRR4055067	SRS1637092	GSM2268343	pooled male and female	7w	hProgBP	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561298	SRX2044595	2016-08-24	19	17	Homo sapiens	SRR4055069	SRS1637093	GSM2268345	pooled male and female	7w	hNProg	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561299	SRX2044594	2016-08-24	124	114	Homo sapiens	SRR4055068	SRS1637094	GSM2268344	pooled male and female	7w	hProgM	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561297	SRX2044596	2016-08-24	49	45	Homo sapiens	SRR4055070	SRS1637095	GSM2268346	pooled male and female	7w	hOMTN	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561296	SRX2044597	2016-08-24	105	96	Homo sapiens	SRR4055071	SRS1637096	GSM2268347	pooled male and female	7w	hRgl2a	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
86	SAMN05561295	SRX2044598	2016-08-24	134	122	Homo sapiens	SRR4055072	SRS1637097	GSM2268348	pooled male and female	7w	Unk	ventral midbrain		ventral midbrain	RNA-Seq	PRJNA307121	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	ILLUMINA	2016-10-06	SRP067844
