BioSample_s	Experiment_s	Instrument_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	age_s	curated_cell_type_s	health_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s	tissue_s
SAMN05216885	SRX1832050	Illumina HiSeq 2000	921	572	SRR3649801	SRS1493128	GSM2194200	adult	delta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216886	SRX1832051	Illumina HiSeq 2000	954	593	SRR3649802	SRS1493129	GSM2194201	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216887	SRX1832052	Illumina HiSeq 2000	851	537	SRR3649803	SRS1493130	GSM2194202	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216891	SRX1832053	Illumina HiSeq 2000	794	495	SRR3649804	SRS1493131	GSM2194203	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216892	SRX1832054	Illumina HiSeq 2000	834	517	SRR3649805	SRS1493132	GSM2194204	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216893	SRX1832055	Illumina HiSeq 2000	829	516	SRR3649806	SRS1493133	GSM2194205	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216894	SRX1832056	Illumina HiSeq 2000	516	321	SRR3649807	SRS1493134	GSM2194206	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216895	SRX1832057	Illumina HiSeq 2000	847	535	SRR3649808	SRS1493135	GSM2194207	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216901	SRX1832058	Illumina HiSeq 2000	715	447	SRR3649809	SRS1493136	GSM2194208	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216902	SRX1832059	Illumina HiSeq 2000	713	444	SRR3649810	SRS1493137	GSM2194209	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216903	SRX1832060	Illumina HiSeq 2000	539	338	SRR3649811	SRS1493138	GSM2194210	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216904	SRX1832061	Illumina HiSeq 2000	733	457	SRR3649812	SRS1493139	GSM2194211	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216905	SRX1832062	Illumina HiSeq 2000	701	438	SRR3649813	SRS1493140	GSM2194212	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216906	SRX1832063	Illumina HiSeq 2000	892	576	SRR3649814	SRS1493141	GSM2194213	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216907	SRX1832064	Illumina HiSeq 2000	775	491	SRR3649815	SRS1493142	GSM2194214	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216908	SRX1832065	Illumina HiSeq 2000	811	507	SRR3649816	SRS1493143	GSM2194215	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216909	SRX1832066	Illumina HiSeq 2000	763	512	SRR3649817	SRS1493144	GSM2194216	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216910	SRX1832067	Illumina HiSeq 2000	794	507	SRR3649818	SRS1493145	GSM2194217	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216911	SRX1832068	Illumina HiSeq 2000	958	596	SRR3649819	SRS1493146	GSM2194218	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216896	SRX1832040	Illumina HiSeq 2000	679	444	SRR3649791	SRS1493118	GSM2194190	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216897	SRX1832041	Illumina HiSeq 2000	777	496	SRR3649792	SRS1493119	GSM2194191	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216898	SRX1832042	Illumina HiSeq 2000	867	543	SRR3649793	SRS1493120	GSM2194192	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216899	SRX1832043	Illumina HiSeq 2000	682	453	SRR3649794	SRS1493121	GSM2194193	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216900	SRX1832044	Illumina HiSeq 2000	786	500	SRR3649795	SRS1493122	GSM2194194	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216888	SRX1832045	Illumina HiSeq 2000	763	488	SRR3649796	SRS1493123	GSM2194195	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216889	SRX1832046	Illumina HiSeq 2000	1004	633	SRR3649797	SRS1493124	GSM2194196	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216890	SRX1832047	Illumina HiSeq 2000	1077	674	SRR3649798	SRS1493125	GSM2194197	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216883	SRX1832048	Illumina HiSeq 2000	974	604	SRR3649799	SRS1493126	GSM2194198	adult	duct	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216884	SRX1832049	Illumina HiSeq 2000	799	497	SRR3649800	SRS1493127	GSM2194199	adult	dropped	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216912	SRX1832069	Illumina HiSeq 2000	996	618	SRR3649820	SRS1493147	GSM2194219	adult	alpha	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
SAMN05216913	SRX1832070	Illumina HiSeq 2000	1010	623	SRR3649821	SRS1493148	GSM2194220	adult	beta	control	RNA-Seq	100	PRJNA325005	GEO	public	0	SINGLE	cDNA	TRANSCRIPTOMIC	2016-06-08	Homo sapiens	ILLUMINA	2016-07-05	SRP076307	pancreas	pancreatic islets
