BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	source_name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s
SAMN05947000	SRX2271641	3	2	SRR4455090	SRS1762744	GSM2361495	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05947000	SRX2271641	3	2	SRR4455091	SRS1762744	GSM2361495	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946997	SRX2271642	6	4	SRR4455092	SRS1762745	GSM2361496	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946997	SRX2271642	6	4	SRR4455093	SRS1762745	GSM2361496	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946987	SRX2271646	6	4	SRR4455100	SRS1762746	GSM2361500	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946987	SRX2271646	6	4	SRR4455101	SRS1762746	GSM2361500	CD1c+ cDC	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946995	SRX2271643	6	4	SRR4455094	SRS1762747	GSM2361497	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946995	SRX2271643	6	4	SRR4455095	SRS1762747	GSM2361497	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946989	SRX2271645	5	3	SRR4455098	SRS1762748	GSM2361499	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
SAMN05946989	SRX2271645	5	3	SRR4455099	SRS1762748	GSM2361499	primary human conventional dendritic cells (cDCs)	Blood Dendritic Cells	RNA-Seq	50	PRJNA350790	GEO	public	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-10-27	Homo sapiens	ILLUMINA	2016-11-15	SRP092166
