#Experiment_s	Run_s
SRX2271641	SRR4455090
SRX2271641	SRR4455091
SRX2271642	SRR4455092
SRX2271642	SRR4455093
SRX2271646	SRR4455100
SRX2271646	SRR4455101
SRX2271643	SRR4455094
SRX2271643	SRR4455095
SRX2271645	SRR4455098
SRX2271645	SRR4455099
SRX2271644	SRR4455096
SRX2271644	SRR4455097
SRX2271647	SRR4455102
SRX2271647	SRR4455103
SRX2271648	SRR4455104
SRX2271648	SRR4455105
SRX2271649	SRR4455106
SRX2271649	SRR4455107
SRX2271650	SRR4455108
SRX2271650	SRR4455109
SRX2271652	SRR4455112
SRX2271652	SRR4455113
SRX2271653	SRR4455114
SRX2271653	SRR4455115
SRX2271651	SRR4455110
SRX2271651	SRR4455111
SRX2271654	SRR4455116
SRX2271654	SRR4455117
SRX2271655	SRR4455118
SRX2271655	SRR4455119
SRX2271656	SRR4455120
SRX2271656	SRR4455121
SRX2271657	SRR4455122
SRX2271657	SRR4455123
SRX2271658	SRR4455124
SRX2271658	SRR4455125
SRX2271659	SRR4455126
SRX2271659	SRR4455127
SRX2271660	SRR4455128
SRX2271660	SRR4455129
SRX2271661	SRR4455130
SRX2271661	SRR4455131
SRX2271662	SRR4455132
SRX2271662	SRR4455133
SRX2271663	SRR4455134
SRX2271663	SRR4455135
SRX2271664	SRR4455136
SRX2271664	SRR4455137
SRX2271665	SRR4455138
SRX2271665	SRR4455139
SRX2271666	SRR4455140
SRX2271666	SRR4455141
SRX2271667	SRR4455142
SRX2271667	SRR4455143
SRX2271668	SRR4455144
SRX2271668	SRR4455145
SRX2271669	SRR4455146
SRX2271669	SRR4455147
SRX2271670	SRR4455148
SRX2271670	SRR4455149
SRX2271671	SRR4455150
SRX2271671	SRR4455151
SRX2271672	SRR4455152
SRX2271672	SRR4455153
SRX2271673	SRR4455154
SRX2271673	SRR4455155
SRX2271674	SRR4455156
SRX2271674	SRR4455157
SRX2271675	SRR4455158
SRX2271675	SRR4455159
SRX2271676	SRR4455160
SRX2271676	SRR4455161
SRX2271677	SRR4455162
SRX2271677	SRR4455163
SRX2271678	SRR4455164
SRX2271678	SRR4455165
SRX2271679	SRR4455166
SRX2271679	SRR4455167
SRX2271680	SRR4455168
SRX2271680	SRR4455169
SRX2271681	SRR4455170
SRX2271681	SRR4455171
SRX2271682	SRR4455172
SRX2271682	SRR4455173
SRX2271683	SRR4455174
SRX2271683	SRR4455175
SRX2271684	SRR4455176
SRX2271684	SRR4455177
SRX2271685	SRR4455178
SRX2271685	SRR4455179
SRX2271686	SRR4455180
SRX2271686	SRR4455181
SRX2271687	SRR4455182
SRX2271687	SRR4455183
SRX2271688	SRR4455184
SRX2271688	SRR4455185
SRX2271689	SRR4455186
SRX2271689	SRR4455187
SRX2271690	SRR4455188
SRX2271690	SRR4455189
SRX2271691	SRR4455190
SRX2271691	SRR4455191
SRX2271692	SRR4455192
SRX2271692	SRR4455193
SRX2271693	SRR4455194
SRX2271693	SRR4455195
SRX2271694	SRR4455196
SRX2271694	SRR4455197
SRX2271695	SRR4455198
SRX2271695	SRR4455199
SRX2271696	SRR4455200
SRX2271696	SRR4455201
SRX2271697	SRR4455202
SRX2271697	SRR4455203
SRX2271698	SRR4455204
SRX2271698	SRR4455205
SRX2271699	SRR4455206
SRX2271699	SRR4455207
SRX2271700	SRR4455208
SRX2271700	SRR4455209
SRX2271701	SRR4455210
SRX2271701	SRR4455211
SRX2271702	SRR4455212
SRX2271702	SRR4455213
SRX2271703	SRR4455214
SRX2271703	SRR4455215
SRX2271704	SRR4455216
SRX2271704	SRR4455217
SRX2271705	SRR4455218
SRX2271705	SRR4455219
SRX2271706	SRR4455220
SRX2271706	SRR4455221
SRX2271707	SRR4455222
SRX2271707	SRR4455223
SRX2271708	SRR4455224
SRX2271708	SRR4455225
SRX2271709	SRR4455226
SRX2271709	SRR4455227
SRX2271710	SRR4455228
SRX2271710	SRR4455229
SRX2271711	SRR4455230
SRX2271711	SRR4455231
SRX2271712	SRR4455232
SRX2271712	SRR4455233
SRX2271713	SRR4455234
SRX2271713	SRR4455235
SRX2271714	SRR4455236
SRX2271714	SRR4455237
SRX2271715	SRR4455238
SRX2271715	SRR4455239
SRX2271716	SRR4455240
SRX2271716	SRR4455241
SRX2271717	SRR4455242
SRX2271717	SRR4455243
SRX2271718	SRR4455244
SRX2271719	SRR4455245
SRX2271720	SRR4455246
SRX2271721	SRR4455247
SRX2271722	SRR4455248
SRX2271723	SRR4455249
SRX2271724	SRR4455250
SRX2271725	SRR4455251
SRX2271726	SRR4455252
SRX2271727	SRR4455253
SRX2271728	SRR4455254
SRX2271729	SRR4455255
SRX2271730	SRR4455256
SRX2271731	SRR4455257
SRX2271732	SRR4455258
SRX2271733	SRR4455259
SRX2271734	SRR4455260
SRX2271735	SRR4455261
SRX2271736	SRR4455262
SRX2271737	SRR4455263
SRX2271738	SRR4455264
SRX2271739	SRR4455265
SRX2271740	SRR4455266
SRX2271741	SRR4455267
SRX2271742	SRR4455268
SRX2271743	SRR4455269
SRX2271744	SRR4455270
SRX2271745	SRR4455271
SRX2271746	SRR4455272
SRX2271747	SRR4455273
SRX2271748	SRR4455274
SRX2271749	SRR4455275
SRX2271750	SRR4455276
SRX2271751	SRR4455277
SRX2271752	SRR4455278
SRX2271753	SRR4455279
SRX2271754	SRR4455280
SRX2271755	SRR4455281
SRX2271756	SRR4455282
SRX2271757	SRR4455283
SRX2271758	SRR4455284
SRX2271759	SRR4455285
SRX2271760	SRR4455286
SRX2271761	SRR4455287
SRX2271762	SRR4455288
SRX2271763	SRR4455289
SRX2271764	SRR4455290
SRX2271765	SRR4455291
SRX2271766	SRR4455292
SRX2271767	SRR4455293
SRX2271768	SRR4455294
SRX2271769	SRR4455295
SRX2271770	SRR4455296
SRX2271771	SRR4455297
SRX2271772	SRR4455298
SRX2271773	SRR4455299
SRX2271774	SRR4455300
SRX2271775	SRR4455301
SRX2271776	SRR4455302
SRX2271777	SRR4455303
SRX2271778	SRR4455304
SRX2271779	SRR4455305
SRX2271780	SRR4455306
SRX2271781	SRR4455307
SRX2271782	SRR4455308
SRX2271783	SRR4455309
SRX2271784	SRR4455310
SRX2271785	SRR4455311
SRX2271786	SRR4455312
SRX2271787	SRR4455313
SRX2271788	SRR4455314
SRX2271789	SRR4455315
SRX2271790	SRR4455316
SRX2271791	SRR4455317
SRX2271792	SRR4455318
SRX2271793	SRR4455319
SRX2271794	SRR4455320
SRX2271795	SRR4455321
SRX2271796	SRR4455322
SRX2271797	SRR4455323
SRX2271798	SRR4455324
SRX2271799	SRR4455325
SRX2271800	SRR4455326
SRX2271801	SRR4455327
SRX2271802	SRR4455328
SRX2271803	SRR4455329
SRX2271804	SRR4455330
SRX2271805	SRR4455331
SRX2271806	SRR4455332
SRX2271807	SRR4455333
SRX2271808	SRR4455334
SRX2271809	SRR4455335
SRX2271810	SRR4455336
SRX2271811	SRR4455337
SRX2271812	SRR4455338
SRX2271813	SRR4455339
SRX2271814	SRR4455340
SRX2271815	SRR4455341
SRX2271816	SRR4455342
