AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	Sex_s	average_age_s	number_of_mice_pooled_s	source_name_s	strain_s	tissue_s
74	SAMN06099680	SRX2390155	584	215	SRR5070308	SRS1832040	GSM2413265	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099678	SRX2390157	460	174	SRR5070310	SRS1832042	GSM2413267	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099697	SRX2390160	558	206	SRR5070313	SRS1832045	GSM2413270	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099701	SRX2390162	166	65	SRR5070315	SRS1832047	GSM2413272	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099699	SRX2390164	747	274	SRR5070317	SRS1832049	GSM2413274	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099694	SRX2390167	494	180	SRR5070320	SRS1832052	GSM2413277	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099692	SRX2390169	544	200	SRR5070322	SRS1832054	GSM2413279	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099690	SRX2390171	432	164	SRR5070324	SRS1832056	GSM2413281	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099684	SRX2390173	691	257	SRR5070326	SRS1832058	GSM2413283	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
74	SAMN06099686	SRX2390175	430	163	SRR5070328	SRS1832060	GSM2413285	RNA-Seq	PRJNA355987	GEO	public	0	NextSeq 500	SINGLE	cDNA	TRANSCRIPTOMIC	2016-12-02	Mus musculus	ILLUMINA	2017-02-06	SRP094469	male	63 days	2	Arcuate Nucleus/Median Eminence	(C57BL/6 x DBA)F2	Arcuate-Median Eminence
